"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84"
"Time",0.23,0.29,0.16,0.01,NA,NA,0.01,1.2,NA,NA,0.03,0.07,0.01,0.01,0.22,0.24,NA,NA,1.28,2.4,NA,NA,NA,NA,0.25,0.24,0.22,0.25,NA,NA,1.37,0.01,NA,NA,NA,NA,0.01,0.22,0.2,0.17,NA,NA,1.51,1.41,0.01,NA,NA,0.06,0.19,0.18,0.16,0.01,NA,0.06,1.64,0.01,0.23,NA,NA,0.04,0.22,0.2,0.16,0.23,1.04,15.56,1.74,0.02,NA,NA,NA,0.02,0.21,0.16,0.2,0.18,0.01,0.02,0.04,1.51,NA,NA,NA,NA
"Time",0.32,0.24,0.18,0.01,NA,3.42,1.27,1.3,NA,NA,NA,NA,0.21,0.21,0.2,0.31,NA,NA,1.33,0.01,NA,NA,NA,0.06,0.2,0.01,0.19,0.23,0.98,0.02,4.39,0.05,0.01,NA,NA,NA,0.18,0.2,0.01,0.01,NA,NA,1.4,2.43,NA,0.28,NA,NA,0.19,0.19,0.21,0.01,NA,NA,4.78,3.66,NA,NA,NA,0.17,0.01,0.04,0.01,0.14,NA,NA,0.01,2.43,NA,NA,0.08,NA,0.21,0.18,0.01,0.19,16.43,0.01,2.39,0.07,0.17,NA,0.03,0.12
"Time",0.19,0.01,0.17,0.01,NA,0.01,2.42,1.3,NA,NA,NA,NA,0.26,0.01,0.01,0.19,NA,NA,1.31,1.34,NA,0.09,NA,0.04,0.2,0.16,0.22,0.17,0.01,NA,5.35,1.39,NA,NA,NA,NA,0.2,0.21,0.18,0.01,NA,NA,1.35,1.35,NA,NA,NA,NA,0.01,0.19,0.02,0.2,NA,NA,2.74,4.38,NA,NA,0.28,0.05,0.01,0.01,0.22,0.21,NA,0.01,0.07,2.52,0.01,NA,NA,0.03,0.23,0.18,0.01,0.01,0.95,0.78,0.01,8.63,NA,NA,NA,NA
"Time",0.01,0.22,0.22,0.18,NA,NA,0.02,1.3,NA,NA,NA,NA,0.3,0.2,0.22,0.19,NA,NA,0.02,1.4,NA,0.09,0.08,NA,0.02,0.21,0.02,0.02,0.05,NA,1.36,1.44,NA,NA,NA,NA,0.2,0.24,0.19,0.2,1.17,NA,0.01,1.29,NA,NA,NA,0.02,0.25,0.22,0.02,0.18,NA,0.01,0.02,3.56,NA,NA,NA,NA,0.34,0.18,0.18,0.23,0.96,2.75,0.04,0.01,NA,NA,0.11,NA,0.19,0.24,0.16,0.01,NA,NA,0.03,3.61,NA,NA,0.01,NA
"Time",0.01,0.01,0.17,0.2,1.37,NA,0.05,1.22,0.26,0.04,0.04,NA,0.25,0.2,0.17,0.25,NA,NA,1.36,0.01,NA,NA,NA,0.09,0.18,0.19,0.17,0.01,0.01,11.41,1.46,1.52,NA,NA,0.02,NA,0.18,0.2,0.16,0.17,NA,17.7,0.01,1.29,NA,NA,0.03,NA,0.19,0.22,0.2,0.23,0.06,NA,2.52,3.54,NA,NA,NA,0.14,0.01,0.2,0.17,0.2,0.03,NA,2.54,3.54,NA,NA,NA,0.32,0.19,0.17,0.18,0.01,NA,14.69,1.53,3.52,0.08,NA,NA,NA
"Time",0.01,0.22,0.17,0.18,NA,NA,0.03,1.22,NA,0.18,0.11,0.02,0.21,0.28,0.2,0.04,NA,NA,1.2,0.04,NA,NA,NA,0.03,0.19,0.01,0.02,0.18,NA,NA,0.02,1.4,0.11,NA,NA,NA,0.18,0.23,0.19,0.19,0.01,0.07,2.42,0.02,NA,0.33,NA,0.12,0.21,0.15,0.19,0.19,19.8,NA,0.01,5.58,NA,NA,0.06,NA,0.15,0.01,0.25,0.01,NA,NA,0.02,5.62,0.18,NA,0.01,NA,0.21,0.19,0.16,0.2,0.83,NA,0.01,4.61,NA,0.08,NA,0.03
"Time",0.25,0.19,0.21,0.23,NA,NA,2.26,1.19,NA,0.13,NA,NA,0.19,0.35,0.01,0.2,NA,6.46,0.04,1.3,0.05,NA,0.09,0.18,0.2,0.18,0.01,0.22,0.05,NA,0.01,1.52,0.14,NA,0.02,0.04,0.19,0.23,0.17,0.2,NA,NA,3.42,1.33,NA,NA,NA,NA,0.25,0.25,0.22,0.19,0.01,NA,2.58,0.79,NA,NA,0.03,NA,0.27,0.23,0.24,0.17,0.06,NA,1.46,1.58,0.05,NA,NA,0.07,0.23,0.01,0.2,0.17,NA,NA,0.02,3.47,0.02,NA,0.14,0.27
"Time",0.21,0.19,0.01,0.21,NA,NA,1.26,1.26,NA,NA,NA,NA,0.23,0.23,0.19,0.2,NA,NA,5.38,0.01,NA,0.01,0.44,NA,0.28,0.01,0.01,0.01,NA,NA,1.49,1.35,NA,0.04,NA,0.06,0.21,0.01,0.2,0.03,NA,NA,1.42,1.46,NA,0.05,NA,NA,0.24,0.01,0.19,0.01,NA,7.64,1.42,2.5,0.04,NA,NA,NA,0.01,0.17,0.2,0.01,NA,NA,0.02,5.31,NA,0.02,NA,NA,0.2,0.19,0.24,0.17,1.13,1.17,5.42,2.48,0.01,NA,NA,NA
"Time",0.22,0.22,0.22,0.19,NA,NA,1.5,0.01,NA,NA,NA,NA,0.01,0.48,0.27,0.14,NA,NA,1.52,1.33,0.07,NA,NA,NA,0.18,0.21,0.2,0.2,NA,16.4,2.38,1.28,0.13,0.26,NA,NA,0.01,0.22,0.01,0.21,NA,NA,3.38,1.38,NA,NA,NA,NA,0.21,0.01,0.01,0.22,1.1,0.09,2.66,2.36,NA,NA,NA,NA,0.18,0.19,0.18,0.18,NA,8.57,2.48,1.31,0.09,NA,NA,0.01,0.23,0.19,0.19,0.16,0.77,5.64,5.55,6.5,0.03,NA,NA,NA
"Time",0.3,0.22,0.21,0.2,0.01,NA,0.02,1.34,0.03,0.02,NA,NA,0.01,0.01,0.2,0.17,12.51,0.1,1.31,1.32,NA,NA,NA,NA,0.01,0.24,0.21,0.17,NA,NA,1.42,0.02,NA,NA,NA,NA,0.18,0.19,0.01,0.18,0.01,0.11,1.44,1.49,NA,NA,NA,NA,0.01,0.17,0.17,0.2,0.01,0.05,6.5,0.01,0.09,NA,NA,NA,0.18,0.28,0.18,0.01,NA,5.67,5.33,1.36,NA,NA,NA,NA,0.22,0.2,0.27,0.22,1.37,0.8,2.48,4.68,NA,0.28,0.17,NA
"Time",0.2,0.22,0.21,0.01,0.07,0.05,0.05,0.04,NA,NA,NA,NA,0.21,0.18,0.03,0.18,NA,0.04,1.22,1.38,NA,0.01,0.01,NA,0.25,0.21,0.19,0.15,NA,0.02,1.44,1.34,NA,NA,NA,NA,0.25,0.26,0.24,0.17,NA,10.59,4.45,1.19,NA,NA,NA,0.32,0.19,0.33,0.18,0.02,0.77,0.01,2.38,3.5,NA,NA,NA,NA,0.2,0.22,0.19,0.21,NA,0.02,2.46,1.46,0.01,NA,NA,NA,0.2,0.22,0.18,0.21,0.77,NA,5.56,2.27,0.17,NA,NA,NA
"Time",0.01,0.19,0.01,0.01,NA,NA,0.02,0.05,NA,NA,NA,NA,0.01,0.21,0.23,0.21,0.01,6.62,1.42,0.01,NA,NA,NA,NA,0.17,0.18,0.19,0.18,0.02,0.01,0.01,1.5,NA,NA,NA,NA,0.23,0.21,0.02,0.01,0.01,NA,1.48,1.44,NA,0.1,NA,NA,0.22,0.21,0.18,0.01,1.01,0.04,5.54,1.76,0.13,NA,NA,NA,0.22,0.17,0.01,0.01,3.49,7.61,1.5,1.35,0.31,NA,NA,NA,0.21,0.17,0.01,0.21,NA,NA,2.35,6.71,0.12,NA,NA,NA
"Time",0.31,0.22,0.2,0.32,NA,0.03,2.27,1.3,NA,NA,0.02,NA,0.25,0.25,0.18,0.16,NA,12.36,0.04,1.24,NA,0.03,NA,NA,0.02,0.17,0.2,0.18,NA,NA,0.01,0.02,0.4,NA,NA,NA,0.01,0.16,0.21,0.02,NA,NA,3.63,0.03,0.01,NA,0.14,NA,0.21,0.24,0.19,0.01,NA,0.02,2.41,4.82,NA,0.08,NA,NA,0.01,0.18,0.19,0.21,NA,NA,1.54,1.31,0.05,0.09,0.02,NA,0.01,0.19,0.02,0.2,NA,NA,2.63,0.03,NA,NA,NA,NA
"Time",0.24,0.19,0.22,0.23,NA,0.1,1.15,1.17,NA,NA,NA,0.05,0.17,0.22,0.19,0.19,0.01,0.01,7.36,0.01,NA,NA,NA,NA,0.23,0.01,0.21,0.01,NA,NA,0.03,3.55,0.13,NA,NA,NA,0.26,0.2,0.01,0.01,0.02,NA,2.4,1.52,0.08,NA,NA,NA,0.25,0.24,0.18,0.19,0.01,15.38,1.59,0.03,0.07,NA,NA,NA,0.26,0.01,0.01,0.19,0.84,NA,0.01,0.01,NA,NA,0.05,NA,0.23,0.2,0.18,0.22,0.98,NA,2.65,2.5,0.01,NA,NA,NA
"Time",0.22,0.19,0.01,0.15,NA,NA,0.01,0.06,NA,NA,NA,NA,0.02,0.17,0.2,0.17,NA,NA,1.23,2.44,NA,NA,NA,NA,0.23,0.01,0.17,0.18,NA,NA,1.41,0.01,NA,NA,0.1,NA,0.25,0.21,0.21,0.21,0.96,0.01,1.41,1.47,NA,NA,0.04,0.05,0.2,0.19,0.2,0.19,1.09,NA,2.49,2.36,0.32,NA,NA,NA,0.01,0.19,0.18,0.23,NA,NA,1.55,6.59,NA,NA,NA,NA,0.2,0.01,0.01,0.01,0.89,NA,2.52,2.53,NA,NA,NA,NA
"Time",0.01,0.26,0.18,0.18,NA,0.01,0.03,1.3,0.06,NA,NA,0.15,0.24,0.01,0.22,0.19,NA,5.65,1.49,1.27,NA,0.01,NA,0.15,0.19,0.01,0.19,0.24,0.02,0.02,0.04,1.28,NA,NA,NA,0.23,0.25,0.19,0.01,0.02,0.01,NA,1.45,0.02,NA,NA,0.08,NA,0.26,0.24,0.2,0.17,NA,NA,2.62,1.73,NA,NA,NA,NA,0.2,0.01,0.19,0.17,NA,0.01,0.02,2.55,NA,NA,NA,NA,0.23,0.23,0.03,0.22,NA,NA,0.07,0.01,NA,NA,NA,NA
"Time",0.24,0.21,0.01,0.2,NA,NA,1.28,1.35,NA,0.03,NA,0.25,0.26,0.01,0.2,0.23,NA,NA,1.45,0.03,NA,NA,0.01,NA,0.22,0.01,0.19,0.22,NA,15.84,1.48,1.5,NA,NA,0.11,NA,0.18,0.22,0.21,0.2,NA,2.36,6.5,0.02,0.03,NA,NA,NA,0.21,0.17,0.01,0.2,1.12,NA,2.56,6.64,NA,NA,NA,0.09,0.21,0.2,0.19,0.22,NA,NA,7.39,4.49,0.03,NA,0.03,0.37,0.2,0.22,0.24,0.01,NA,0.02,6.59,0.7,NA,NA,NA,NA
"Time",0.28,0.18,0.2,0.22,NA,NA,2.58,1.33,0.36,0.12,NA,NA,0.01,0.29,0.16,0.21,0.02,NA,1.43,0.01,NA,0.08,NA,NA,0.24,0.2,0.01,0.01,NA,0.01,0.03,1.49,NA,NA,NA,NA,0.21,0.01,0.2,0.01,NA,0.02,0.1,1.45,NA,NA,NA,0.04,0.32,0.2,0.21,0.22,NA,17.87,0.01,2.48,NA,0.04,NA,NA,0.01,0.01,0.2,0.26,NA,NA,1.51,0.03,NA,0.03,0.03,NA,0.18,0.17,0.22,0.01,NA,0.84,1.41,2.42,0.09,NA,NA,NA
"Time",0.26,0.25,0.01,0.17,0.03,3.74,1.31,1.3,NA,NA,NA,NA,0.23,0.02,0.18,0.23,0.01,NA,1.43,1.15,NA,0.02,NA,NA,0.01,0.21,0.17,0.22,NA,NA,1.45,1.41,NA,0.05,NA,0.36,0.24,0.01,0.01,0.01,NA,NA,0.01,1.35,NA,0.1,NA,NA,0.01,0.02,0.01,0.2,NA,NA,12.64,0.02,NA,0.15,NA,NA,0.01,0.27,0.18,0.21,NA,0.01,2.52,2.52,NA,NA,NA,NA,0.18,0.27,0.23,0.02,13.91,0.99,3.46,2.53,NA,NA,0.08,0.23
"Time",0.28,0.26,0.21,0.16,0.03,0.09,1.37,1.27,NA,NA,NA,0.02,0.23,0.27,0.19,0.01,NA,NA,1.32,0.01,NA,0.02,0.04,NA,0.2,0.22,0.01,0.19,0.08,0.03,0.04,1.45,0.17,NA,NA,NA,0.25,0.01,0.01,0.16,NA,NA,0.02,1.38,NA,NA,NA,NA,0.2,0.01,0.19,0.21,0.06,0.02,2.53,1.63,NA,NA,NA,NA,0.23,0.23,0.19,0.2,NA,NA,2.43,1.44,NA,NA,NA,NA,0.18,0.2,0.22,0.01,0.09,5.52,1.44,2.62,NA,NA,NA,NA
"Time",0.2,0.01,0.01,0.01,NA,NA,1.4,0.09,0.1,NA,NA,0.26,0.31,0.23,0.17,0.17,NA,NA,0.09,0.01,NA,NA,NA,NA,0.21,0.23,0.22,0.19,0.93,NA,1.25,1.37,0.03,NA,NA,NA,0.22,0.01,0.18,0.19,NA,NA,1.26,2.52,NA,NA,NA,NA,0.01,0.19,0.18,0.01,0.01,0.01,2.39,0.02,NA,NA,NA,NA,0.2,0.02,0.17,0.18,NA,0.05,1.32,1.51,NA,NA,NA,NA,0.2,0.18,0.01,0.18,NA,1.51,3.52,2.47,0.17,NA,0.03,NA
"Time",0.2,0.19,0.02,0.17,0.03,NA,0.01,0.02,0.26,NA,NA,NA,0.22,0.17,0.01,0.17,NA,6.51,0.03,0.08,NA,NA,NA,NA,0.29,0.01,0.18,0.01,0.02,NA,0.01,0.02,NA,NA,NA,NA,0.22,0.19,0.18,0.02,0.02,NA,4.5,2.48,NA,NA,0.01,NA,0.19,0.18,0.19,0.21,NA,NA,2.52,6.63,0.06,NA,0.45,NA,0.19,0.01,0.24,0.16,NA,NA,1.43,7.38,NA,0.03,NA,0.04,0.01,0.18,0.01,0.24,NA,8.76,4.68,5.62,NA,NA,NA,NA
"Time",1.57,0.21,0.18,0.01,NA,NA,0.05,2.39,NA,NA,NA,NA,0.2,0.24,0.01,0.18,0.04,NA,0.01,1.28,0.17,0.01,0.01,NA,0.02,0.24,0.21,0.01,NA,9.52,0.08,1.49,NA,NA,NA,NA,0.19,0.22,0.17,0.21,NA,NA,0.02,0.02,NA,0.1,NA,NA,0.22,0.18,0.2,0.26,NA,NA,7.43,5.62,NA,0.01,NA,NA,0.26,0.17,0.01,0.01,NA,0.01,0.02,3.48,NA,NA,NA,NA,0.18,0.01,0.27,0.22,0.79,0.02,0.03,0.02,0.04,NA,NA,0.11
"Time",0.81,0.28,0.01,0.19,NA,4.44,1.35,1.37,NA,NA,NA,NA,0.18,0.21,0.19,0.21,NA,NA,0.01,3.36,NA,NA,NA,NA,0.15,0.2,0.19,0.2,0.01,NA,1.4,0.12,0.06,0.03,NA,0.03,0.23,0.17,0.01,0.19,NA,NA,0.03,1.44,0.14,0.03,NA,0.01,0.01,0.2,0.2,0.22,0.97,NA,8.83,0.03,NA,NA,0.02,NA,0.24,0.2,0.18,0.18,0.01,NA,1.5,2.35,NA,NA,0.16,NA,0.17,0.19,0.02,0.01,0.76,NA,11.6,2.47,NA,0.05,NA,0.02
"Time",0.01,0.21,0.01,0.18,0.02,0.01,1.35,1.29,NA,NA,NA,NA,0.2,0.01,0.18,0.01,0.01,18.5,0.01,1.36,0.11,NA,0.31,NA,0.3,0.18,0.01,0.25,NA,NA,1.35,1.37,0.1,NA,NA,0.1,0.01,0.18,0.01,0.21,NA,0.02,1.41,1.39,NA,NA,0.04,NA,0.25,0.18,0.2,0.02,0.07,0.01,2.4,1.27,0.09,NA,NA,0.01,0.01,0.24,0.18,0.2,0.01,0.03,0.01,1.28,NA,NA,NA,NA,0.19,0.21,0.18,0.01,0.08,0.76,0.01,1.49,0.15,NA,NA,NA
"Time",0.01,0.22,0.19,0.17,NA,0.01,0.05,1.53,0.06,NA,NA,NA,0.26,0.18,0.21,0.29,NA,13.44,1.26,0.07,NA,0.02,0.05,NA,0.01,0.21,0.22,0.22,NA,NA,3.43,1.43,0.03,NA,NA,NA,0.23,0.01,0.24,0.23,0.01,NA,1.34,3.45,0.1,NA,NA,0.05,0.19,0.21,0.2,0.01,NA,NA,8.55,0.01,0.09,NA,NA,0.14,0.25,0.2,0.18,0.2,0.02,1.46,1.45,1.42,0.01,0.08,0.17,NA,0.19,0.01,0.01,0.24,0.92,NA,0.03,3.63,NA,NA,NA,NA
"Time",0.22,0.01,0.22,0.2,NA,0.01,1.37,1.39,NA,0.07,NA,NA,0.26,0.21,0.22,0.2,0.03,NA,1.4,2.51,NA,0.07,0.01,NA,0.29,0.18,0.01,0.15,0.06,NA,1.53,1.54,NA,NA,NA,NA,0.01,0.22,0.18,0.01,NA,NA,1.4,2.42,NA,NA,0.01,0.16,0.25,0.19,0.23,0.16,NA,NA,2.47,5.58,0.16,0.02,0.06,NA,0.2,0.25,0.19,0.18,NA,14.48,1.31,0.01,0.01,NA,NA,NA,0.18,0.25,0.2,0.2,NA,0.02,0.02,10.54,NA,NA,NA,NA
"Time",0.03,0.26,0.21,0.17,NA,NA,1.37,1.43,0.05,NA,0.06,NA,0.22,0.02,0.21,0.29,0.02,2.61,2.5,1.31,NA,0.1,NA,NA,0.01,0.27,0.18,0.19,0.01,0.07,1.49,1.39,NA,0.07,NA,NA,0.21,0.01,0.21,0.18,1,NA,0.05,2.37,NA,NA,NA,NA,0.19,0.01,0.01,0.18,0.01,NA,3.6,10.69,NA,NA,0.03,NA,0.21,0.01,0.01,0.01,0.98,NA,4.39,1.4,NA,NA,NA,NA,0.22,0.23,0.21,0.01,0.84,1.25,10.57,15.55,NA,NA,NA,NA
"Time",0.25,0.25,0.19,0.21,NA,15.45,2.43,0.03,NA,NA,NA,NA,0.19,0.2,0.18,0.21,0.08,NA,1.53,1.39,NA,0.17,NA,NA,0.01,0.24,0.01,0.21,NA,NA,1.39,1.32,NA,NA,NA,NA,0.19,0.01,0.19,0.23,0.11,NA,6.52,1.25,NA,0.08,0.07,NA,0.19,0.23,0.18,0.01,NA,NA,8.44,8.75,NA,NA,0.07,0.02,0.23,0.17,0.01,0.22,NA,NA,1.46,2.45,NA,0.04,NA,NA,0.22,0.17,0.23,0.19,NA,1.03,3.6,2.36,0.05,NA,NA,NA
"Time",0.22,0.2,0.21,0.18,0.01,NA,0.06,0.01,0.26,NA,0.01,NA,0.19,0.19,0.19,0.15,NA,NA,0.01,0.03,0.01,NA,NA,0.02,0.2,0.34,0.2,0.01,NA,0.01,0.01,1.52,NA,NA,NA,NA,0.18,0.19,0.22,0.22,NA,0.02,4.19,0.12,NA,NA,NA,NA,0.01,0.2,0.21,0.19,NA,0.1,0.04,0.02,0.07,NA,NA,NA,0.25,0.23,0.22,0.21,NA,0.04,1.6,1.45,NA,NA,NA,NA,0.19,0.21,0.16,0.23,0.02,1.23,3.27,6.34,NA,0.02,NA,NA
"Time",0.01,0.21,0.21,0.22,NA,NA,0.03,1.2,NA,NA,NA,NA,0.2,0.2,0.21,0.18,NA,0.03,1.4,2.54,NA,NA,NA,NA,0.01,0.16,0.01,0.23,0.01,0.09,0.01,1.71,NA,NA,NA,NA,0.2,0.02,0.01,0.15,NA,0.03,2.48,5.59,NA,NA,NA,NA,0.24,0.01,0.01,0.18,0.9,15.58,0.05,1.59,NA,NA,NA,0.06,0.16,0.01,0.01,0.27,NA,NA,2.45,1.43,NA,0.06,NA,0.01,0.18,0.01,0.01,0.2,1.16,0.65,6.51,2.45,NA,NA,NA,NA
"Time",0.02,0.23,0.01,0.18,NA,NA,1.31,2.35,NA,NA,0.16,NA,0.01,0.21,0.2,0.01,NA,NA,1.42,1.38,0.2,NA,NA,NA,0.23,0.18,0.2,0.24,3.32,0.02,0.02,3.41,NA,NA,NA,NA,0.01,0.22,0.18,0.17,1.2,NA,0.03,1.55,NA,NA,NA,NA,0.22,0.2,0.27,0.2,0.01,NA,2.34,5.59,0.39,0.19,NA,NA,0.23,0.01,0.19,0.24,NA,9.8,2.42,1.46,NA,NA,0.04,NA,0.01,0.23,0.19,0.01,0.01,8.26,7.59,0.05,0.03,NA,NA,NA
"Time",0.23,0.15,0.18,0.15,NA,NA,2.27,0.07,NA,NA,0.02,NA,0.01,0.27,0.16,0.22,NA,0.01,1.31,1.42,NA,NA,NA,NA,0.01,0.2,0.2,0.29,0.02,0.04,1.46,2.43,NA,0.02,NA,NA,0.26,0.22,0.17,0.18,NA,NA,1.53,1.43,0.01,NA,NA,NA,0.18,0.01,0.17,0.2,1.01,NA,4.41,2.58,NA,0.03,0.02,0.25,0.21,0.22,0.18,0.19,NA,9.55,1.49,1.33,NA,NA,NA,NA,0.24,0.21,0.21,0.01,0.02,NA,0.05,8.33,NA,NA,NA,0.2
"Time",0.2,0.21,0.01,0.25,0.02,NA,1.31,1.41,NA,NA,NA,NA,0.22,0.19,0.19,0.19,NA,11.59,2.29,0.01,NA,NA,NA,NA,0.27,0.01,0.2,0.01,NA,0.02,4.54,1.45,NA,NA,NA,NA,0.01,0.17,0.31,0.01,0.02,0.05,3.56,1.42,NA,NA,0.05,NA,0.22,0.01,0.21,0.19,0.01,1.13,0.03,2.4,NA,0.01,0.26,NA,0.27,0.18,0.19,0.18,NA,0.06,0.02,3.57,NA,0.03,0.12,NA,0.23,0.2,0.17,0.19,0.83,9.55,0.06,0.01,0.16,NA,NA,NA
"Time",0.2,0.22,0.01,0.01,NA,NA,0.01,1.18,0.09,NA,NA,NA,0.31,0.01,0.19,0.16,NA,NA,0.02,1.51,NA,0.02,NA,NA,0.21,0.01,0.22,0.17,NA,NA,2.46,2.43,0.29,NA,0.05,NA,0.19,0.25,0.22,0.21,0.02,0.02,1.39,2.34,NA,0.01,NA,NA,0.25,0.01,0.25,0.23,0.01,3.67,2.58,4.55,NA,0.01,0.07,NA,0.01,0.01,0.19,0.01,0.01,NA,4.39,2.43,0.1,NA,NA,NA,0.18,0.19,0.21,0.21,NA,NA,2.34,0.1,0.09,0.47,NA,NA
"Time",0.27,0.01,0.21,0.22,NA,18.29,1.37,1.51,NA,0.02,NA,NA,0.01,0.18,0.2,0.2,NA,NA,1.37,1.44,NA,NA,NA,0.26,0.26,0.01,0.22,0.32,NA,NA,1.43,1.5,NA,NA,NA,NA,0.25,0.19,0.23,0.2,NA,NA,0.03,1.45,NA,0.03,NA,NA,0.21,0.22,0.21,0.01,0.82,4.47,1.55,7.56,0.05,0.04,NA,NA,0.22,0.01,0.15,0.17,NA,NA,1.47,1.29,NA,NA,NA,0.01,0.2,0.19,0.22,0.25,NA,0.01,0.05,5.3,NA,NA,NA,NA
"Time",0.8,0.2,0.2,0.01,0.04,15.48,1.37,0.03,NA,NA,NA,NA,0.25,0.22,0.21,0.17,NA,NA,0.01,1.38,NA,0.08,NA,NA,0.18,0.21,0.19,0.01,NA,1.64,1.42,3.56,NA,0.51,NA,NA,0.26,0.2,0.26,0.16,NA,10.63,1.43,0.01,NA,NA,NA,NA,0.01,0.22,0.01,0.17,NA,0.98,6.5,11.55,NA,0.12,NA,NA,0.02,0.21,0.22,0.21,0.01,13.52,1.26,0.01,NA,NA,0.05,NA,0.18,0.18,0.19,0.21,0.02,16.35,0.01,2.42,NA,NA,NA,NA
"Time",0.19,0.21,0.19,0.21,NA,NA,1.34,1.46,NA,0.05,NA,NA,0.27,0.01,0.21,0.22,NA,NA,1.43,0.05,NA,NA,0.03,NA,0.03,0.2,0.01,0.19,NA,19.44,0.01,1.29,NA,NA,NA,NA,0.22,0.01,0.25,0.19,0.01,NA,1.68,2.52,NA,NA,NA,0.32,0.01,0.23,0.21,0.25,0.83,0.01,3.72,6.52,NA,NA,0.05,0.02,0.01,0.19,0.01,0.19,0.1,NA,1.41,1.48,NA,NA,0.05,NA,0.23,0.24,0.01,0.02,0.04,0.04,2.39,6.57,NA,NA,NA,NA
"Time",0.21,0.25,0.23,0.21,NA,0.01,1.31,1.38,NA,NA,NA,NA,0.24,0.02,0.19,0.03,0.02,0.02,1.27,1.5,NA,NA,0.03,0.08,0.19,0.2,0.22,0.2,NA,0.03,2.39,2.49,0.1,NA,0.13,NA,0.25,0.18,0.19,0.01,NA,NA,1.44,4.46,NA,0.09,0.14,NA,0.2,0.02,0.19,0.16,1.11,NA,13.32,9.48,NA,NA,NA,NA,0.22,0.23,0.19,0.2,NA,0.01,1.31,0.01,NA,0.18,NA,0.19,0.33,0.26,0.21,0.22,0.71,NA,5.91,0.01,NA,NA,0.09,NA
"Time",0.27,0.17,0.18,0.19,NA,NA,1.59,1.3,0.05,NA,NA,NA,0.24,0.23,0.25,0.17,NA,NA,0.01,1.28,0.01,NA,NA,NA,0.23,0.02,0.01,0.17,0.04,18.42,2.52,1.57,NA,NA,NA,0.06,0.2,0.01,0.2,0.01,NA,NA,0.03,1.59,0.01,NA,NA,NA,0.21,0.01,0.24,0.01,0.09,9.71,2.54,0.01,NA,0.28,0.08,NA,0.26,0.2,0.17,0.22,NA,0.02,6.32,0.04,NA,0.02,0.22,NA,0.21,0.24,0.22,0.01,0.84,0.76,2.53,2.62,NA,0.03,NA,NA
"Time",0.23,0.21,0.19,0.18,NA,9.41,1.42,1.3,0.51,0.11,0.04,NA,0.01,0.01,0.19,0.01,NA,0.02,3.96,1.23,NA,NA,NA,0.07,0.2,0.01,0.01,0.01,NA,NA,1.78,0.02,NA,NA,NA,NA,0.01,0.27,0.02,0.01,NA,NA,5.52,2.52,NA,NA,NA,NA,0.17,0.23,0.01,0.18,0.02,0.03,10.77,3.56,NA,NA,0.13,NA,0.01,0.01,0.16,0.01,NA,NA,3.33,0.01,NA,0.07,NA,0.02,0.19,0.17,0.17,0.18,0.97,0.77,2.36,12.77,NA,NA,NA,NA
"Time",0.01,0.24,0.2,0.22,NA,NA,1.21,1.39,NA,NA,NA,NA,0.21,0.22,0.2,0.2,NA,NA,0.03,0.03,NA,NA,NA,0.05,0.29,0.21,0.19,0.01,0.04,0.02,1.34,1.57,NA,NA,0.09,NA,0.23,0.2,0.19,0.01,NA,NA,0.01,0.02,NA,NA,NA,NA,0.01,0.01,0.01,0.18,NA,NA,2.69,0.02,0.14,NA,NA,NA,0.01,0.2,0.01,0.01,NA,NA,2.49,5.4,NA,NA,NA,NA,0.19,0.01,0.21,0.18,NA,0.02,2.53,1.54,0.08,NA,NA,NA
"Time",0.29,0.25,0.18,0.19,NA,0.02,0.04,1.2,NA,NA,NA,0.08,0.26,0.2,0.01,0.19,NA,0.01,2.43,0.07,NA,NA,NA,NA,0.26,0.26,0.26,0.2,0.02,NA,2.65,1.3,0.01,NA,NA,NA,0.19,0.2,0.19,0.17,NA,0.01,4.49,0.01,NA,NA,NA,0.04,0.2,0.18,0.17,0.22,1.01,NA,2.41,2.49,NA,NA,0.04,NA,0.18,0.21,0.16,0.2,1.21,NA,0.01,3.37,NA,0.04,0.08,NA,0.3,0.23,0.01,0.29,1.56,0.74,16.59,0.91,0.13,0.11,NA,0.05
"Time",0.21,0.22,0.25,0.01,NA,NA,0.09,0.02,NA,NA,NA,NA,0.2,0.17,0.18,0.19,NA,NA,1.51,1.36,NA,0.19,0.17,0.12,0.23,0.01,0.24,0.01,0.04,NA,1.33,1.41,NA,NA,NA,NA,0.01,0.2,0.2,0.18,NA,0.04,0.01,1.47,NA,NA,NA,NA,0.2,0.22,0.21,0.18,0.85,NA,4.57,7.68,NA,NA,NA,NA,0.23,0.19,0.01,0.01,16.48,NA,1.51,2.3,0.02,NA,NA,0.04,0.01,0.19,0.18,0.22,0.01,NA,5.49,0.02,NA,NA,NA,0.07
