"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84"
"Time",0.36,0.34,0.26,0.18,NA,0.06,1.35,1.22,NA,NA,0.12,NA,0.21,0.22,0.17,0.18,NA,NA,0.01,1.46,NA,NA,NA,0.01,0.19,0.23,0.18,0.25,NA,6.52,1.35,1.53,NA,0.01,NA,NA,0.19,0.21,0.19,0.01,0.02,0.13,2.51,2.41,NA,0.12,NA,NA,0.2,0.24,0.19,0.24,0.01,0.82,0.02,9.67,0.06,0.12,NA,NA,0.19,0.17,0.17,0.2,0.93,2.3,0.03,1.57,NA,NA,NA,NA,0.01,0.01,0.2,0.01,0.13,NA,16.43,4.61,0.06,0.07,NA,0.05
"Time",0.23,0.17,0.01,0.01,NA,NA,1.15,1.29,NA,NA,NA,0.04,0.23,0.2,0.23,0.18,0.02,NA,1.24,1.47,NA,NA,NA,0.09,0.2,0.01,0.18,0.03,NA,9.85,0.01,0.03,NA,NA,NA,NA,0.21,0.01,0.2,0.2,NA,NA,1.37,1.41,NA,NA,NA,NA,0.26,0.02,0.01,0.2,NA,NA,0.01,4.56,0.01,0.11,NA,0.27,0.42,0.26,0.01,0.18,19.25,NA,0.01,2.62,0.03,NA,NA,NA,0.18,0.19,0.01,0.25,1.12,6.62,0.01,0.03,NA,NA,NA,NA
"Time",0.3,0.01,0.2,0.17,0.06,NA,1.31,1.43,NA,0.06,NA,0.01,0.25,0.18,0.24,0.21,0.04,NA,0.03,1.41,0.08,NA,NA,NA,0.19,0.2,0.17,0.2,NA,0.05,1.32,1.41,NA,NA,NA,NA,0.21,0.18,0.17,0.01,NA,17.75,0.02,1.49,0.02,0.14,NA,NA,0.36,0.15,0.01,0.2,NA,NA,3.51,7.55,0.08,NA,NA,NA,0.17,0.18,0.26,0.19,0.01,16.47,5.5,2.53,0.02,NA,NA,NA,0.2,0.3,0.18,0.03,0.79,1.05,0.01,2.38,NA,NA,NA,NA
"Time",0.01,0.18,0.01,0.25,NA,NA,1.23,1.46,NA,0.02,0.03,NA,0.19,0.02,0.19,0.22,NA,NA,0.03,0.01,NA,0.04,0.02,NA,0.26,0.19,0.17,0.21,NA,0.03,2.48,3.53,0.03,NA,0.06,NA,0.24,0.25,0.01,0.16,NA,0.01,1.47,1.42,NA,NA,NA,NA,0.18,0.18,0.22,0.01,NA,NA,0.02,2.6,NA,0.18,NA,NA,0.2,0.18,0.19,0.02,0.01,NA,0.1,0.01,0.01,NA,NA,NA,0.21,0.17,0.01,0.01,0.89,1.05,4.58,1.53,0.08,NA,NA,NA
"Time",0.01,0.24,0.01,0.01,NA,NA,1.16,2.49,NA,NA,NA,NA,0.29,0.01,0.01,0.19,NA,15.5,3.41,1.43,NA,NA,NA,NA,0.19,0.24,0.01,0.22,NA,6.26,1.41,1.4,NA,NA,NA,NA,0.18,0.19,0.19,0.17,0.01,NA,3.46,0.06,NA,NA,NA,NA,0.03,0.25,0.01,0.19,0.84,0.03,0.02,16.51,NA,NA,NA,NA,0.21,0.01,0.24,0.19,NA,0.81,1.39,0.02,NA,NA,NA,NA,0.19,0.19,0.22,0.01,0.03,1.08,7.47,0.01,0.01,NA,NA,NA
"Time",0.01,0.01,0.22,0.16,NA,12.44,0.07,1.48,NA,NA,NA,NA,0.01,0.01,0.18,0.18,0.01,NA,1.56,3.47,NA,NA,0.01,NA,0.22,0.19,0.02,0.18,NA,0.01,2.42,1.36,NA,NA,NA,NA,0.01,0.16,0.01,0.26,NA,NA,1.58,0.02,0.16,0.01,0.13,0.08,0.01,0.02,0.19,0.22,1.03,NA,1.5,0.01,NA,NA,0.09,NA,0.26,0.16,0.22,0.19,NA,0.02,1.39,2.56,0.17,NA,0.08,NA,0.01,0.2,0.01,0.2,0.04,12.39,0.66,0.03,NA,NA,NA,NA
"Time",0.19,0.2,0.03,0.21,NA,NA,0.05,0.01,NA,NA,NA,0.04,0.01,0.25,0.01,0.02,NA,NA,0.06,0.02,NA,0.07,NA,NA,0.18,0.25,0.19,0.2,NA,0.02,1.43,1.49,NA,NA,NA,NA,0.01,0.23,0.21,0.01,0.85,NA,0.02,2.55,NA,0.17,0.19,NA,0.2,0.01,0.25,0.21,1.09,0.02,7.56,2.5,NA,NA,NA,NA,0.25,0.29,0.01,0.01,0.01,0.07,2.48,1.42,NA,NA,0.04,NA,0.01,0.24,0.22,0.22,0.03,NA,2.6,15.63,NA,NA,0.01,0.04
"Time",0.24,0.18,0.17,0.24,NA,NA,0.02,1.53,NA,NA,0.1,0.08,0.28,0.23,0.18,0.16,NA,0.03,1.39,1.46,NA,NA,NA,NA,0.27,0.28,0.2,0.16,0.03,0.09,1.54,1.42,0.02,0.01,NA,NA,0.02,0.18,0.01,0.18,NA,NA,3.48,0.01,NA,0.01,NA,0.01,0.23,0.21,0.2,0.01,5.22,NA,6.54,2.52,0.06,NA,NA,NA,0.19,0.28,0.2,0.22,NA,NA,0.04,5.51,NA,NA,NA,NA,0.18,0.2,0.19,0.19,3.96,2.4,2.56,2.32,NA,NA,NA,NA
"Time",0.23,0.01,0.21,0.19,0.04,NA,1.29,1.34,NA,0.06,NA,NA,0.22,0.19,0.02,0.17,NA,0.08,3.37,1.51,NA,NA,NA,0.17,0.01,0.22,0.22,0.03,NA,0.02,3.37,1.42,NA,NA,NA,0.07,0.29,0.01,0.19,0.18,NA,0.01,0.01,0.02,NA,0.05,0.02,NA,0.24,0.01,0.01,0.22,NA,NA,0.08,9.52,0.01,NA,NA,NA,0.22,0.01,0.01,0.16,1.07,0.02,6.52,2.46,NA,NA,0.03,NA,0.2,0.19,0.02,0.18,0.02,0.12,0.01,2.35,0.04,NA,0.18,0.04
"Time",0.21,0.21,0.23,0.01,NA,NA,0.03,1.25,0.04,NA,NA,0.09,0.01,0.19,0.2,0.26,NA,0.02,0.01,0.01,NA,NA,0.05,NA,0.18,0.25,0.26,0.18,NA,NA,0.01,0.05,NA,0.23,NA,NA,0.26,0.17,0.19,0.18,NA,NA,1.43,7.47,NA,0.01,NA,0.01,0.23,0.17,0.17,0.19,1.06,0.02,2.39,8.6,NA,NA,NA,NA,0.18,0.24,0.01,0.18,NA,0.02,0.02,1.68,NA,NA,0.01,NA,0.01,0.22,0.18,0.21,NA,0.98,3.63,0.05,NA,NA,NA,NA
"Time",0.02,0.2,0.2,0.23,NA,7.43,0.01,0.04,0.01,0.1,NA,0.03,0.25,0.23,0.19,0.22,NA,NA,2.45,1.34,NA,NA,NA,NA,0.2,0.19,0.19,0.23,0.02,NA,1.46,1.55,NA,NA,NA,NA,0.24,0.19,0.17,0.21,NA,15.63,0.01,2.39,NA,NA,NA,0.05,0.18,0.27,0.2,0.23,NA,NA,2.31,1.38,0.03,NA,NA,NA,0.31,0.24,0.01,0.25,0.02,19.47,2.53,1.38,0.15,NA,0.11,NA,0.19,0.18,0.19,0.01,0.02,7.59,1.34,4.42,NA,NA,NA,NA
"Time",0.2,0.01,0.21,0.19,NA,NA,1.23,0.04,0.05,NA,NA,NA,0.02,0.19,0.17,0.18,0.05,NA,1.38,1.25,NA,0.01,0.07,NA,0.01,0.24,0.01,0.2,NA,NA,2.49,1.61,NA,0.42,NA,NA,0.2,0.21,0.19,0.19,0.04,NA,1.54,1.43,0.05,NA,NA,NA,0.23,0.23,0.24,0.01,NA,NA,2.37,6.5,0.01,0.11,NA,NA,0.28,0.21,0.18,0.21,NA,5.69,0.01,1.48,0.13,0.05,0.07,NA,0.01,0.19,0.01,0.22,NA,0.86,2.72,2.47,NA,NA,NA,NA
